system	repo	sha	dir	modules	level	describable	prose	prose_path	licence	checkable	tlc_seconds	why
Push-based Raft consensus with optional reconfiguration	Vanlightly_raft-tlaplus	69ad9d6	specifications/standard-raft	Raft;RaftWithReconfigAddRemove;RaftWithReconfigJointConsensus	4	yes	yes	specifications/standard-raft/README.md	MIT	yes	7.6	`Raft.tla:58-106` per-server functions (`log`, `nextIndex`, `matchIndex`, `votesGranted`); explicit `LivenessSpec == Init /\ [][Next]_vars /\ NoStuttering` with `WF_vars(Next)` in all three files (`Raft.tla:546,550`, `RaftWithReconfigJointConsensus.tla:996,1000`, `RaftWithReconfigAddRemove.tla:973,977`), leader-election/commit progress is checked
Dining philosophers, hygienic (dirty/clean fork tokens) solution	muratdem_PlusCal-examples	559f4b1	DiningPhil	diningHygienic;diningHygenic0	4	yes	no		NONE FOUND	unattempted	0.0	state is per-edge fork/req/clean sets plus per-process `state,Q,q` arrays after PlusCal translation (`diningHygienic.tla:69,81`), and the whole point of the two files is the liveness question `NoStarvation == \A p: []( Hungry => <>Eating )` (`diningHygienic.tla:179`) under `WF_vars` (`:170`), tier-3 state where progress is the question, not tier-5: no INSTANCE/refinement anywhere
Dining philosophers, round-table (asymmetric fork order) solution	muratdem_PlusCal-examples	559f4b1	DiningPhil	diningRound0;diningRound1	4	yes	no		NONE FOUND	unattempted	0.0	state is a single `fork` array of owners plus per-process `state` array (`diningRound0.tla:52`); round0's own comment says it deadlocks by symmetry and round1 fixes deadlock but starves (`diningRound1.tla:3-4` vs `diningRound0.tla:3`), and both declare `NoStarvation` (`diningRound0.tla:128`), progress is explicitly the axis being iterated on
Streamlet crash-fault-tolerant blockchain consensus, two message-model variants (str1: single shared `Msgs`, str2: per-node `Msgs[s]` views)	muratdem_PlusCal-examples	559f4b1		str1;str2	4	yes	no	README.md	NONE FOUND	unattempted	0.0	state is a growing message set plus per-process `nChain`/`ep` (str1: `str1.tla:55,63`; str2 partitions `Msgs` per node: `str2.tla:59,67`), and str2 explicitly checks `Termination == <>(...)` (`str2.tla:139`) alongside a cross-node `Consistency` check comparing `nChain[i]` vs `nChain[j]` (`str2.tla:148`), progress and inter-node agreement are the point
Streamlet crash-fault-tolerant blockchain finality protocol	muratdem_PlusCal-examples	559f4b1	Streamlet	str0;str1;str2	4	yes	yes	Streamlet/README.md	NONE FOUND	unattempted	0.0	`str1.tla:55-63` declares `Msgs` (nested records) and per-process `nChain`/`ep`, several-functions/nested state (tier 3), and `str1.tla:108-111` (`Spec` with `WF_vars`, `Termination == <>(...)`) shows progress is the point
Voldemort-style replicated KV store, chain replication with server-side routing	muratdem_PlusCal-examples	559f4b1	VoldemortKV	voldchain	4	yes	yes	VoldemortKV/README.md	NONE FOUND	unattempted	0.0	`voldchain.tla` (BEGIN TRANSLATION, ~line 92) `VARIABLES FailNum, up, msg, db, chain, pc`, four functions (`up`, `msg`, `db`, `chain`) relating nodes through a *sequence*-valued chain topology that a `Configurator` process actively repairs on node failure/recovery, the abstraction boundary (does client-visible read/write behavior stay correct while the chain is being reconfigured under churn) is the actual question
Fast Paxos consensus: acceptors and coordinators exchange messages to agree on a value in one WAN round trip	tlaplus_DrTLAPlus	b74cff5	FastPaxos	FastPaxos	4	yes	yes	FastPaxos/README.md	NONE FOUND	unattempted	0.0	`FastPaxos.tla:110,129-138` `VARIABLES rnd, vrnd, vval, crnd, cval, amLeader, sentMsg, proposed, learned, goodSet`; `TypeOK` shows six functions over two distinct roles (`Acceptor`, `Coord`) plus message/proposal/learned sets, several functions relating two entity kinds through message exchange; no `INSTANCE`/refinement in this module itself, so I did not escalate to 5 despite consensus's inherently cross-party correctness question
Boulangerie algorithm (mutual exclusion variant)	tlaplus_Examples	ceeaa90	specifications/Bakery-Boulangerie	Boulanger;MCBoulanger	4	yes	yes	specifications/Bakery-Boulangerie/README.md	MIT	unattempted	0.0	`Boulanger.tla:294-301` TypeOK adds `previous` to the same per-process function set as Bakery; same `WF_vars` per-process fairness (`Boulanger.tla:278`) driving eventual critical-section entry
Chang-Roberts leader election on a unidirectional ring	tlaplus_Examples	ceeaa90	specifications/chang_roberts	ChangRoberts	4	yes	yes	specifications/chang_roberts/README.md	MIT	unattempted	0.0	`ChangRoberts.tla:66,121` `VARIABLES msgs, pc, initiator, state`, `msgs` a per-node function of pending messages relating each node to its ring successor (`succ(n)` at `:26`); `ChangRoberts.tla:114` `WF_vars(node(self))` for every node, and `README.md:14-15` says to "check the invariants TypeOK and Correctness and the temporal logic property Liveness", leader election eventually succeeding is the checked progress property
Condition-based crash-tolerant consensus on the maximum proposed value (Mostéfaoui et al.)	tlaplus_Examples	ceeaa90	specifications/cbc_max	cbc_max	4	yes	yes	specifications/cbc_max/README.md	MIT	unattempted	0.0	`cbc_max.tla:24` `VARIABLES pc, V, v, w, dval, nCrash, sntMsgs, rcvdMsgs`, multiple per-process functions (status, proposed/working/decided values) plus message sets exchanged between processes; README lists "termination" among checked properties, i.e. progress is part of the question
Dijkstra's mutual-exclusion algorithm (1965)	tlaplus_Examples	ceeaa90	specifications/dijkstra-mutex/DijkstraMutex.toolbox/Safety-4-processors	DijkstraMutex	4	no	yes		MIT	unattempted	0.0	two boolean-array functions `b`, `c` over `Proc` plus a scalar turn variable `k` relate every process to every other, several functions over entities, `DijkstraMutex.tla:57` (`variables b = [i \in Proc
Distributed spanning-tree construction	tlaplus_Examples	ceeaa90	specifications/spanning	spanning	4	yes	no	specifications/spanning/README.md	MIT	unattempted	0.0	`spanning.tla:5,26-28` `VARIABLES prnt, rpt, msg`, `TypeOK` ties `prnt[i]` to the neighbor graph `nbrs`, several functions relating processes over a graph; `spanning.tla:30` `Termination == <>(\A i \in Proc: i = root \/ ...)` plus `WF_vars` fairness at `:19-22`, the whole point of the algorithm is that every node eventually finds its parent, an explicitly checked progress property
FLASH directory-based cache coherence protocol	tlaplus_Examples	ceeaa90	specifications/FlashProtocol	FlashWithMutex	4	yes	yes		MIT	unattempted	0.0	`FlashWithMutex.tla:66-79` deeply nested state: `Proc \in [NODE -> [record of 4 fields]]`, `Dir` an 8-field record, `UniMsg \in [NODE -> [record]]`, tier-3 nested-function state; `FlashWithMutex.tla:632-671` a battery of leads-to progress properties (`DirProgress`, `WbProgress`, per-node cache-fill progress) plus `WF_vars` fairness at `:619-624`, progress is squarely the point
Huang's termination-detection algorithm (weight-throwing)	tlaplus_Examples	ceeaa90	specifications/Huang	Huang	4	yes	no		MIT	timeout	45.1	three per-process functions relate processes, `Huang.tla:11-14` (`active`, `weight`, `msgs`), tier-3 shape, and `Huang.tla:64-70,79-84` states `Safe`/`Live` theorems about eventual termination detection with `WF_vars` fairness at `:66-69`, so progress is the explicit subject
LMAX Disruptor ring buffer (SPMC and MPMC producer-count variants)	tlaplus_Examples	ceeaa90	specifications/Disruptor	Disruptor_MPMC;Disruptor_SPMC	4	yes	yes	specifications/Disruptor/README.md	MIT	unattempted	0.0	`Disruptor_MPMC.tla:30-38` declares several functions relating distinct entities (`ringbuffer`, `claimed_sequence` per writer, `read` per reader), tier-3 shape, and the header (`:2-11`) plus README state the goal is proving no data races and that consumers *eventually* read all published values, i.e. progress is the question
Lamport's bakery algorithm (mutual exclusion)	tlaplus_Examples	ceeaa90	specifications/Bakery-Boulangerie	Bakery;MCBakery	4	yes	yes	specifications/Bakery-Boulangerie/README.md	MIT	unattempted	0.0	`Bakery.tla:218-224` TypeOK: `num, flag, unchecked, max, nxt, pc` all `[Procs -> ...]`, several functions relating processes (ticket-number comparison); `Bakery.tla:494-495` defines progress properties `DeadlockFree`/`StarvationFree` (leads-to), so progress is the point even though `MCBakery.cfg` currently comments them out pending a known tool bug
Multi-car elevator dispatch system	tlaplus_Examples	ceeaa90	specifications/MultiCarElevator	Elevator	4	yes	yes		MIT	unattempted	0.0	`Elevator.tla:20-22` declares three nested per-entity functions (`PersonState`, `ActiveElevatorCalls`, `ElevatorState`, keyed by people/elevators/calls), tier-3 shape, and the header (`Elevator.tla:2-9`) states the `TemporalInvariant` exists so "people eventually reach their destination floor," i.e. progress is the point
Nano blockchain protocol (block hashing, signing, ledger propagation)	tlaplus_Examples	ceeaa90	specifications/NanoBlockchain	Nano;MCNano	4	yes	no		MIT	unattempted	0.0	`Nano.tla:175-177` TypeInvariant: `distributedLedger \in [Node -> Ledger]` and `received \in [Node -> SUBSET SignedBlock]`, a function of a function (per-node ledger, itself hash-indexed), i.e. tier-3 nested state; the module's own header (`Nano.tla:3-7`) frames the difficulty as "using finite modelchecking to analyze blockchain-like data structures... that record action history in an ordered way," which is squarely an abstraction-boundary question
Non-blocking atomic commitment under crash failures (Raynal 1997), using a failure detector	tlaplus_Examples	ceeaa90	specifications/nbacc_ray97	nbacc_ray97	4	yes	yes	specifications/nbacc_ray97/README.md	MIT	yes	0.9	`nbacc_ray97.tla:19-23` `VARIABLES pc, rcvd, sent, fd`, four per-process functions (program counter, received/sent message counts, failure-detector output) relating N processes via message passing; README lists "termination" among checked properties (non-blocking is precisely a progress guarantee)
Reliable broadcast by message diffusion under crash failures (Chandra-Toueg)	tlaplus_Examples	ceeaa90	specifications/bcastFolklore	bcastFolklore	4	yes	yes	specifications/bcastFolklore/README.md	MIT	timeout	45.1	`bcastFolklore.tla:125-129` TypeOK: `sent`, `pc`, `rcvd` are all per-process functions (`pc \in [Proc -> {...}]`, `rcvd \in [Proc -> SUBSET(Proc x M)]`), tier-3 state; `bcastFolklore.tla:108-115` `WF_vars` fairness and `:139` `CorrLtl == ... ~> (\E i \in Corr: pc[i] = "AC")`, eventual delivery is an explicitly checked progress property
RingMaster checkpoint-rotation coordination (leader + secondaries take turns checkpointing)	tlaplus_Examples	ceeaa90	specifications/CheckpointCoordination	CheckpointCoordination	4	yes	yes	specifications/CheckpointCoordination/README.md	MIT	unattempted	0.0	eleven `VARIABLES` (`CheckpointCoordination.tla:9-19`), several nested/grouped (`PaxosVars`, `EnvironmentVars`); README states explicit temporal invariants, "all secondary replicas eventually take a checkpoint," "a checkpoint always eventually completes or is aborted" (README "Invariants" section), tier-3 state where progress is explicitly checked
Sequential memory interface (an "inner" implementation enforcing strict per-address ordering)	tlaplus_Examples	ceeaa90	specifications/SpecifyingSystems/AdvancedExamples	InnerSequential	4	yes	no	specifications/SpecifyingSystems/AdvancedExamples/README	MIT	unattempted	0.0	`DataInvariant` has `opQ \in [Proc -> Seq(...)]` and `mem \in [Adr -> Val]` (`InnerSequential.tla:9-13`), proven only to preserve its own `DataInvariant` (`InnerSequential.tla:74`), not a refinement of a further-abstract module, same abstraction-boundary framing as InnerSerial, different consistency model
Serial memory interface (an "inner" implementation of `RegisterInterface` permitting reordered but source-tracked reads)	tlaplus_Examples	ceeaa90	specifications/SpecifyingSystems/AdvancedExamples	InnerSerial	4	yes	no	specifications/SpecifyingSystems/AdvancedExamples/README	MIT	unattempted	0.0	`DataInvariant` constrains a nested `opQ \in [Proc -> Seq(opVal)]` plus an `opOrder` relation and a `goodSource(oi)` rule (`InnerSerial.tla:18-27`); the module's whole job is defining which inner implementations legitimately satisfy the outer register interface, the abstraction boundary is the question
The prisoners' switch-room puzzle (NPR "Car Guys" puzzle)	tlaplus_Examples	ceeaa90	specifications/Prisoners	Prisoners	4	yes	yes		MIT	yes	0.7	`Prisoners.tla:56-72` state is mostly scalar/one-function (`timesSwitched \in [OtherPrisoner -> 0..2]`, `switchAUp`, `switchBUp`, `count`), but the puzzle's entire point is a rule relating the counter prisoner's tally to every other prisoner's switch-flip history; `Prisoners.cfg:5` checks `PROPERTIES Safety Liveness` and `Prisoners.tla:157-158` gives `WF_vars` fairness for every prisoner, the puzzle is fundamentally a liveness/progress question (can the prisoners ever become certain), which is what pushes it past a plain tier-2 shape
Yo-Yo leader election (base algorithm, pruning variant, all-graphs variant)	tlaplus_Examples	ceeaa90	specifications/YoYo	YoYoNoPruning;YoYoPruning;YoYoAllGraphs	4	yes	yes	specifications/YoYo/README.md	MIT	no	0.8	four/five functions over `Nodes` (`phase`, `incoming`, `outgoing`, `mailbox`) relate nodes via neighbor sets and per-neighbor messages, `YoYoNoPruning.tla:64`; the algorithm's central concern is progress, the no-pruning variant "stabilizes... but does not terminate, since no node can detect stabilization" and pruning exists to fix that (README)
MongoDB gossip-based Raft replication protocol (base + single-server reconfig variant)	visualzhou_mongo-repl-tla	7ea53f7		RaftMongo;RaftMongoWithRaftReconfig	4	yes	yes	README.md	NONE FOUND	unattempted	0.0	several per-server functions relating entities, `RaftMongo.tla:20,26,29,37` (`globalCurrentTerm`, `state`, `commitPoint`, `log`) and `RaftMongoWithRaftReconfig.tla:22,33,36,43` (adds `configs`), plus `RaftMongo.tla:275-292` defines `Liveness` with `SF_vars`/`WF_vars`, so progress is explicitly checked
MongoDB logless dynamic reconfiguration protocol (composition of static replication + reconfig sub-protocols)	will62794_logless-reconfig	05178a7		MongoRaftReconfig;MongoStaticRaft;MongoLoglessDynamicRaft	4	yes	yes	README.md	NONE FOUND	unattempted	0.0	`MongoRaftReconfig.tla:12-18` declares 7 variables built from two composed sub-specs via `CSM == INSTANCE MongoLoglessDynamicRaft` (`:39`) and `OSM == INSTANCE MongoStaticRaft` (`:47`); `MongoStaticRaft.tla:11-16` shows nested per-server functions (`log`, `config`); the README states the whole point of the repo is the composition/abstraction boundary between the two sub-protocols
Cosmos DB consistency levels, demonstrated via a client/database exchange	Azure_azure-cosmos-tla	a8357c9	scenario1	swscop	5	yes	yes	scenario1/README.md	MIT	unattempted	0.0	PlusCal `process (cosmosdb ...)` and `process (client \in Clients)` communicate only through FIFO channels (`chan`, swscop.tla:8-20); the five consistency-level read semantics are defined entirely in terms of what the client can observe from the exchange
Cosmos DB multi-region consistency model	Azure_azure-cosmos-tla	a8357c9	general-model	cosmos_client	5	yes	yes	general-model/README.md	MIT	unattempted	0.0	multiple client processes across regions read/write and the five consistency guarantees (linearizability, bounded staleness, session, consistent prefix, eventual) are properties of the recorded cross-client `History`, not of any one client, `cosmos_client.tla:196` (VARIABLES `Bound, History, Data, Database, value, pc`)
Cosmos DB-style client: reads a counter under a configurable consistency level, increments it, writes it back; checks whether stored counter values stay consecutive	Azure_azure-cosmos-tla	a8357c9	scenario2	swscrw	5	yes	yes	scenario2/README.md	MIT	unattempted	0.0	`swscrw.tla:71` `VARIABLES chan, pc, Database, msg, m, op, v, chistory, ses`, `chan` (per-node FIFO), `Database` (growing log), `chistory` (client-side read history) are the shared state through which the client and the simulated cloud database interact; every consistency predicate (Strong/Session/Bounded-Staleness/etc., per the README) is defined over that cross-party interaction history, not any single party's local state, matches "behaviour only visible from parties interacting" directly, no refinement instance needed for this call
BookKeeper protocol design variants (unbounded ledgers + guaranteed write quorum)	Vanlightly_bookkeeper-tlaplus	fe199dc	tweaks	ProtocolUnboundedLedgersAndGWQ;ProtocolWithGuaranteedWriteQuorum	5	yes	yes		MIT	unattempted	0.0	multi-party message-passing distributed ledger protocol between `Clients` and `Bookies`; `ProtocolUnboundedLedgersAndGWQ.tla` states it is "Built on the changes of the BookKeeperProtocolGuaranteedWriteQuorum spec" (line 9), behaviour only visible from parties (client, bookies) interacting
Elasticsearch Zen cluster-coordination protocol (Raft-family leader election and configuration commit)	elastic_elasticsearch-formal-models	ca30663	ZenWithTerms/tla	ZenWithTerms	5	yes	no		Apache-2.0	unattempted	0.0	quorum-based election and publish votes (`IsQuorum`, `electionWon`, `joinVotes`, `publishVotes`) over per-node functions, agreement is a property of the interaction among nodes voting, not of any one node's state, `ZenWithTerms.tla:24-43` (VARIABLE block), `:61` (`IsQuorum`)
Elasticsearch replica engine: applying out-of-order add/update/delete requests to a single document consistently	elastic_elasticsearch-formal-models	ca30663	ReplicaEngine/tla	ReplicaEngine	5	yes	no		Apache-2.0	unattempted	0.0	six concurrent PlusCal processes (`SafeAccessEnablerProcess`, `UnsafePutterProcess`, `LuceneProcess`, `DeleteCollectorProcess`, `LocalCheckpointTrackerProcess`, `ConsumerProcess`; lines 91-193) coordinate over shared version-map/Lucene state, correctness (duplicate-free, order-independent convergence to `FinalDoc`) is only visible from how these processes interleave
Bounded blocking queue: producer/consumer bounded buffer with blocking wait/notify, plus poison-pill/poison-apple termination, fairness (ordered wake), and trace-conformance variants	lemmy_BlockingQueue	6871597		BlockingQueue;BlockingQueueSplit;BlockingQueueFair;BlockingQueuePoisonApple;BlockingQueuePoisonPill;BlockingQueueTrace;BlockingQueueSplitTrace;SpecTE	5	yes	yes	README.md	MIT	yes	2.1	chained refinement claims run through the family: `BlockingQueueFair.tla:75` `BQS == INSTANCE BlockingQueueSplit ...` and `:79` `THEOREM Spec => BQSSpec`; `BlockingQueuePoisonPill.tla:147,160` `BQ == INSTANCE BlockingQueue` / `THEOREM Spec => BQSpec`; the base module alone (`BlockingQueue.tla:16` `VARIABLES buffer, waitSet`, `buffer \in Seq(Producers)`) would read as level 2 in isolation
CCF Raft-based consensus (concrete protocol + its abstract commit-log spec)	microsoft_CCF	ee34e7b	tla/consensus	ccfraft;abs	5	yes	no		Apache-2.0	unattempted	0.0	`ccfraft.tla:1728` `INSTANCE abs WITH ...` followed by `THEOREM Spec => RefinementToAbsProp` (`ccfraft.tla:1731,1733`) is a genuine refinement mapping, not the `instance` heuristic's false-positive kind
Consistency of a replicated ledger's client-observable transaction history against its (forkable) per-view ledger branches	microsoft_CCF	ee34e7b	tla/consistency	Consistency	5	yes	no		Apache-2.0	timeout	45.1	`VARIABLES history` (line 73) records client-visible request/response events and `VARIABLES ledgerBranches` (line 135) is a function of view to append-only ledger prefixes (`LedgersMonoProp`, line 137-142); the invariants (e.g. `AllCommittedObservedRoInv`, line 120-126) state properties purely in terms of what a client observing the history could witness, behaviour only visible from parties interacting
Ben-Or randomized crash-fault-tolerant consensus	muratdem_PlusCal-examples	559f4b1	BenOr	benor	5	yes	no		NONE FOUND	unattempted	0.0	processes exchange two rounds of messages (`p1Msg`, `p2Msg`) each round, deciding only once a majority of received values agree, agreement is visible only from the collected message sets across processes, `benor.tla:38` (per-process locals `r, p1v, p2v, decided`)
Flexible Paxos (two-quorum-system consensus)	muratdem_PlusCal-examples	559f4b1	Paxos	fpax1	5	yes	no		NONE FOUND	unattempted	0.0	leaders and acceptors exchange `AccMsg`/`LMsg` message sets and reach agreement only through interleaved quorum intersection across `Quorum1`/`Quorum2`, `fpax1.tla:145` (`VARIABLES AccMsg, LMsg, pc`), `:158` (per-process locals); safety is visible only from the combined leader/acceptor interaction, not any one party's state
Multi-Paxos (single quorum system, multiple slots)	muratdem_PlusCal-examples	559f4b1	Paxos	pax2	5	yes	no		NONE FOUND	unattempted	0.0	same message-passing/quorum-intersection shape as fpax1 but with a single implicit majority quorum and `M` leaders over `N` acceptors, `pax2.tla:134`, `:144`
Synchronized round consensus algorithm (with node failures)	muratdem_PlusCal-examples	559f4b1	SyncConsensus	syncCon3;syncCon1	5	yes	yes	SyncConsensus/README.MD	NONE FOUND	unattempted	0.0	PlusCal `fair process (n \in Nodes)` (syncCon3.tla:26) sending votes through per-node mailboxes `mb` and reaching consensus only via that message exchange, behaviour only visible from parties interacting
Paxos single-decree consensus, refined against the Voting/Consensus spec	tlaplus_DrTLAPlus	b74cff5	Paxos	Paxos	5	yes	yes	Paxos/README.md	NONE FOUND	unattempted	0.0	explicitly instantiates the abstract consensus spec as its refinement mapping, `Paxos.tla:543` (`C == INSTANCE Consensus WITH chosen <- chosenBar`), this is the canonical refinement example cited in this project's own `.claude/rules/tla-practice.md` (§2, "Projections and derived state functions")
Abstract two-process lock, refined by Peterson's algorithm	tlaplus_Examples	ceeaa90	specifications/locks_auxiliary_vars	Lock;Peterson	5	yes	yes	specifications/locks_auxiliary_vars/README.md	MIT	no	0.4	`Peterson.tla:106` `L == INSTANCE Lock`, with (per `README.md:13-14`) "a refinement from Peterson's algorithm to an abstract lock" proved in the module
Asynchronous channel, and a bit-encoding refinement of a wide channel by a binary one	tlaplus_Examples	ceeaa90	specifications/SpecifyingSystems/Composing	Channel;ChannelRefinement	5	yes	no	specifications/SpecifyingSystems/Composing/README	MIT	unattempted	0.0	`ChannelRefinement.tla` instantiates `Channel` twice (`H == INSTANCE Channel ...`, `L == INSTANCE Channel ...`, lines 10-11) and defines `IR == \EE bitsSent : I(bitsSent)!InnerIR` (line 41), an explicit refinement with existential hiding of the auxiliary variable
B-tree key-value store, refined against an abstract key-value-store interface	tlaplus_Examples	ceeaa90	specifications/btree	kvstore;btree	5	yes	yes	specifications/btree/README.md	MIT	yes	0.7	`btree.tla` instantiates `kvstore` as its abstraction, `btree.tla:316` (`Mapping == INSTANCE kvstore`); `kvstore.tla` alone is the abstract get/insert/update/delete interface, `kvstore.tla:34`
Barrier synchronization (abstract Barrier + reusable double-chamber Barriers, refinement pair)	tlaplus_Examples	ceeaa90	specifications/barriers	Barrier;Barriers	5	no	yes	specifications/barriers/README.md	MIT	yes	0.5	`README.md` "Refinement" section states Barriers refines the abstract Barrier spec, confirmed at `Barriers.tla:251` (`B == INSTANCE Barrier WITH pc <- [p \in ProcSet
BufferedRandomAccessFile caching layer (refines RandomAccessFile)	tlaplus_Examples	ceeaa90	specifications/braf	BufferedRandomAccessFile	5	yes	yes	specifications/braf/README.md	MIT	timeout	45.1	header states explicitly: "the behavior should refine a general RandomAccessFile" and "each operation should refine its RandomAccessFile counterpart" (`BufferedRandomAccessFile.tla:8-10`)
Byzantine Paxos consensus, refinement chain (abstract Consensus → Voting → PConsensus → Byzantine Consensus)	tlaplus_Examples	ceeaa90	specifications/byzpaxos	BPConProof;VoteProof;PConProof;Consensus	5	yes	yes	specifications/byzpaxos/README.md	MIT	no	0.5	each module refines the previous via `INSTANCE`: `VoteProof.tla:923` (`C == INSTANCE Consensus`), `PConProof.tla:481` (`V == INSTANCE VoteProof`), `BPConProof.tla:817` (`P == INSTANCE PConProof WITH maxBal <- PmaxBal`)
Byzantine-tolerant one-round reliable broadcast (Srikanth-Toueg)	tlaplus_Examples	ceeaa90	specifications/bcastByz	bcastByz	5	yes	yes	specifications/bcastByz/README.md	MIT	no	0.5	correct vs. faulty processes (`Corr`, `Faulty`) exchange `sent`/`rcvd` messages, and the checked properties (correctness, relay, unforgeability) are statements about what every correct process ends up accepting given what others broadcast, `bcastByz.tla:46-53` (VARIABLE block)
Chandra-Toueg unreliable/eventually-perfect failure detector	tlaplus_Examples	ceeaa90	specifications/detector_chan96	EnvironmentController	5	yes	yes	specifications/detector_chan96/README.md	MIT	timeout	45.1	composes two instantiated sub-specs for the parties involved, `EnvironmentController.tla:151` (`CommChan == INSTANCE Age_Channel`) and `:153` (`Detector == INSTANCE EPFailureDetector`), the protocol's correctness is about message aging/delivery between processes, i.e. behaviour only visible from parties interacting
Consensus in one communication step under crash faults	tlaplus_Examples	ceeaa90	specifications/c1cs	c1cs	5	yes	yes	specifications/c1cs/README.md	MIT	timeout	45.1	processes broadcast and receive messages (`VARIABLES pc, v, dValue, bcastMsg, rcvdMsg`, line 22) and the algorithm's validity/agreement properties depend entirely on which broadcasts each process has received when it decides
Dijkstra's mutual-exclusion algorithm	tlaplus_Examples	ceeaa90	specifications/dijkstra-mutex	DijkstraMutex	5	yes	yes		MIT	unattempted	0.0	`process (P \in Proc)` (line 58), an arbitrary number of concurrent processes contend for a critical section via shared arrays `b`, `c`, `k` (`VARIABLES b, c, k, pc, temp`, line 98); mutual exclusion and starvation-freedom are properties of the processes' interleaving, not of any one process
Disk Paxos consensus algorithm	tlaplus_Examples	ceeaa90	specifications/diskpaxos	DiskSynod	5	yes	no	specifications/diskpaxos/README.md	MIT	unattempted	0.0	`DiskSynod.tla:126` `THEOREM DiskSynodSpec => SynodSpec`, an explicit refinement proof that the disk-based algorithm implements the abstract Synod consensus spec (`Synod.tla`, `EXTENDS`'d at `DiskSynod.tla:3`)
Distributed termination detection in a ring (Dijkstra's EWD840): an abstract "has every node gone idle" spec, refined by the token-passing detection algorithm	tlaplus_Examples	ceeaa90	specifications/ewd840	SyncTerminationDetection;EWD840	5	yes	yes	specifications/ewd840/README.md	MIT	yes	0.6	`EWD840_proof.tla:284` `THEOREM Spec => TD!Spec` (TD instantiates `SyncTerminationDetection`), an explicit, TLAPS-checked refinement. Taken alone, `EWD840.tla:13,18-21` (`VARIABLES active, color, tpos, tcolor`; `TypeOK`) is two functions over a ring of nodes plus a token position/color, level 3; the abstract `SyncTerminationDetection.tla:13-14,17-18` (`VARIABLES active, terminationDetected`; `TypeOK == active \in [Node -> BOOLEAN] /\ terminationDetected \in BOOLEAN`) is one function plus a scalar, level 2
Distributed termination detection on a ring (EWD998, Safra's algorithm)	tlaplus_Examples	ceeaa90	specifications/ewd998	EWD998PCal;EWD998;EWD998Chan;AsyncTerminationDetection	5	yes	yes	specifications/ewd998/README.md	MIT	yes	36.0	explicit refinement mapping `TD == INSTANCE AsyncTerminationDetection` (EWD998.tla:203), and README states EWD998 refines AsyncTerminationDetection which EWD998Chan/EWD998PCal further refine (README.md:26-41)
German cache-coherence protocol (concrete data spec, control abstraction, CMP abstraction, a checked refinement chain)	tlaplus_Examples	ceeaa90	specifications/GermanProtocol	GermanData;GermanControl;GermanCMPWithMutex	5	yes	yes	specifications/GermanProtocol/README.md	MIT	unattempted	0.0	`GermanData` explicitly instantiates `GermanControl` as its abstraction, `GermanData.tla:161` (`Abstract == INSTANCE GermanControl WITH ...`); the whole point of the three files, per the README, is the checked refinement order `GermanData => GermanControl => GermanCMPWithMutex`
Graph state-space explorer with counterexample construction (models a BFS-style search procedure, refined between a non-deterministic exploration order and a FIFO/BFS order)	tlaplus_Examples	ceeaa90	specifications/TLC	MCReachability;TLCMC	5	no	no		MIT	unattempted	0.0	`TLCMC.tla:345` `MCR == INSTANCE MCReachability WITH ...`; `:357` `Refinement == MCR!Spec`, checked as a `PROPERTY`; `TLCMC.tla:337-338` states in comments "TLCMC (non-strict BFS with S as a FIFO sequence) refines MCReachability", a genuine refinement pair. `MCReachability.tla:39-46` on its own has `L` (a function, BFS level per state) and `T` (a set of predecessor/successor pairs) alongside plain sets, which is already level 3, not the input's `auto_level: 1`
Key-value store with snapshot isolation (raw-TLA+ formalization and PlusCal formalization of the same store)	tlaplus_Examples	ceeaa90	specifications/KeyValueStore	KeyValueStore;KVsnap	5	yes	yes	specifications/KeyValueStore/README.md	MIT	unattempted	0.0	`KeyValueStore.tla` alone would read as tier 3 (nested nested functions `snapshotStore: TxId -> Store`, `KeyValueStore.tla:13`), but `KVsnap.tla` instantiates `ClientCentric` to check serializability under a consistency-model refinement, `KVsnap.tla:14` (`CC == INSTANCE ClientCentric ...`) and `:161` (`Serialization == CC!Serializability(...)`), the system as a whole is a refinement check
Lamport's distributed mutual-exclusion algorithm (logical clocks, message passing)	tlaplus_Examples	ceeaa90	specifications/lamport_mutex	LamportMutex	5	yes	yes	specifications/lamport_mutex/README.md	MIT	unattempted	0.0	`network \in [Proc -> [Proc -> Seq(Message)]]` (line 55) is explicit in-transit message state between every pair of processes, and mutual exclusion is proved purely from the ordering of requests/acknowledgements each process sends and receives over `network`
Misra's graph-reachability algorithm: sequential version, plus a parallel implementation proven (and TLC-checked) to refine it	tlaplus_Examples	ceeaa90	specifications/MisraReachability	Reachable;ParReach	5	yes	yes	specifications/MisraReachability/README	MIT	unattempted	0.0	`ParReach.tla:206` `R == INSTANCE Reachable WITH vroot <- vrootBar, pc <- pcBar`; `:222-223` `Refines == R!Spec` / `THEOREM Spec => Refines`; `MCParReach.cfg` checks `PROPERTY Refines`, a genuine, model-checked refinement mapping. Taken alone, `Reachable.tla:82,125` (`VARIABLES marked, vroot, pc`; `TypeOK == marked \in SUBSET Nodes /\ ...`) is set-only state and would read as level 1
